date,incident_id,n_killed,n_injured,incident_url_fields_missing,congressional_district,latitude,longitude,n_guns_involved,state_house_district,state_senate_district
2013,143036120,317,979,False,2379.0,10379.913499999995,-24828.927,121.0,13613.0,4884.0
2014,8991412704,12557,23002,False,414221.0,1929178.6646999964,-4593830.766100004,7927.0,2492590.0,942056.0
2015,20388301930,13484,26967,False,423942.0,2003462.9911999987,-4755262.254999967,36849.0,2685281.0,1003910.0
2016,35918098535,15066,30580,False,440922.0,2046557.833499994,-4874734.573800044,53821.0,2587674.0,1001044.0
2017,54111867885,15511,30703,False,456007.0,2251515.342200005,-5354670.971800018,76189.0,2746063.0,1091918.0
2018,14506860969,3533,6171,False,84681.0,460479.5795000012,-1101192.0618000028,17545.0,614385.0,201953.0
